locale,segment_hash,source_text,translated_text,occurrences,sample_locations
fr-CH,749174fe649b2d59522bfe814a94b531b4b58e363a34c22d09ed048e58a7591f,10% = 10/100. Multiply 103 by 10/100.,10% = 10/100. Multiplie 103 par 10/100.,1,KS4_merged_deduped.jsonl::rationale
fr-CH,ee90999345b150ff636e2b1ac6dc7733091c82503f651a7bcd6283d42c67aae5,15% = 15/100. Multiply 130 by 15/100.,15% = 15/100. Multiplie 130 par 15/100.,1,KS4_merged_deduped.jsonl::rationale
fr-CH,8222290e856f35627f67bb185d1ca15b0340f798ff5d8cf58c8d107c595b8596,15% = 15/100. Multiply 224 by 15/100.,15% = 15/100. Multiplie 224 par 15/100.,1,KS4_merged_deduped.jsonl::rationale
fr-CH,fb2d6d34d0bf0129d7627e2de31cc6affd82463de739d8f4ffd7d09f3c22929a,20% = 20/100. Multiply 94 by 20/100.,20% = 20/100. Multiplie 94 par 20/100.,1,KS4_merged_deduped.jsonl::rationale
fr-CH,91353aa3f219f78385f2e99fe535f5fd8d3cc73e47fc4468438af39f8f297f38,A force 43 N acts at a perpendicular distance 8 m. Find the moment.,Une force de 43 N agit à une distance perpendiculaire de 8 m. Calcule le moment.,1,KS5_merged_deduped.jsonl:ks5_d9b4621b44:question
fr-CH,beab3dc19b82c6f6b6a96bf9930fd8dc509711da2a05021f969c02506556850e,"A grouped frequency table has frequencies [10, 6, 5, 4] for classes [(0, 10), (10, 20), (20, 30), (30, 40)]. What is the cumulative frequency up to 30?","Un tableau de fréquences groupées a les fréquences [10, 6, 5, 4] pour les classes [(0, 10), (10, 20), (20, 30), (30, 40)]. Quelle est la fréquence cumulée jusqu'à 30 ?",1,KS4_merged_deduped.jsonl::question
fr-CH,b500c68a2f4fb62b9d073cd3c48ee7c690c909cfc90582f70f4eb4aa72d34cc9,"A grouped frequency table has frequencies [11, 8, 7, 12] for classes [(0, 10), (10, 20), (20, 30), (30, 40)]. What is the cumulative frequency up to 20?","Un tableau de fréquences groupées a les fréquences [11, 8, 7, 12] pour les classes [(0, 10), (10, 20), (20, 30), (30, 40)]. Quelle est la fréquence cumulée jusqu'à 20 ?",1,KS4_merged_deduped.jsonl::question
fr-CH,0c5e34fb4fd9fd4c0f47e0f2daf043d3791c88ce115b953170ec4055d867eb39,Compute ∫_2^5 (3x^2 + 6x + 8) dx,Calcule ∫_2^5 (3x^2 + 6x + 8) dx,1,KS5_merged_deduped.jsonl:ks5_def_int_poly_0be06a41:question
fr-CH,c5b32afb87951cca9ecba478ae241476353354eb3c86b31bc81c361e2c5505e7,Compute: 2/3 + 1/3 (give your answer in simplest form),Calcule : 2/3 + 1/3  (donne ta réponse sous forme la plus simple),1,KS4_merged_deduped.jsonl::question
fr-CH,ec6509d660ae7cae291bf0f083a7ec03203e9dfcf79f3b192c5ce374ac8e63fe,Differentiate:  f(x) = cos(-6x +0),Dérive : f(x) = cos(-6x +0),1,KS5_merged_deduped.jsonl:ks5_59755d2956:question
