locale,segment_hash,source_text,translated_text,occurrences,sample_locations
it-CH,302f7e82b2a81e52a3e2cb1fe86e3b660b69d87c55de02bffb6d5b600a4a5329,-1cos(-1x +0),-1cos(-1x +0),2,KS5_merged_deduped.jsonl:ks5_effcf6ece0:options[0] | KS5_merged_deduped.jsonl:ks5_a9df7096f1:options[2]
it-CH,3f6266a3911b9ac44e28f39fa3fd2d3418aa2bd897da4413826750484e4ce907,-1cos(-1x +1),-1cos(-1x +1),2,KS5_merged_deduped.jsonl:ks5_0632fe1a58:options[3] | KS5_merged_deduped.jsonl:ks5_ec914a799f:options[2]
it-CH,da00b179cf34236b31f5edf6726ed1e94af4d4a7d3f615b5112fe849df0e400e,-1cos(-1x +2),-1cos(-1x +2),1,KS5_merged_deduped.jsonl:ks5_40743198f2:options[3]
it-CH,82d0e494dc4147f274d620349e8bce29975ed6b13cce7f92f5fccc0d3016568f,-1cos(-1x +3),-1cos(-1x +3),2,KS5_merged_deduped.jsonl:ks5_4cda8d07a7:options[3] | KS5_merged_deduped.jsonl:ks5_152a232bff:options[3]
it-CH,e105800d6b670f6584b1fe3578f7e64fb0efe6a3c783df3448ad1707637a7231,-1cos(-1x +5),-1cos(-1x +5),2,KS5_merged_deduped.jsonl:ks5_8d48ccb0e7:options[0] | KS5_merged_deduped.jsonl:ks5_ebc4c4555e:options[0]
it-CH,f78767650f17cbf708d43f707ec63e33a727c796f58a1d5452d531ff94832df6,-1cos(-1x +6),-1cos(-1x +6),1,KS5_merged_deduped.jsonl:ks5_4572e32a82:options[3]
it-CH,11a74fad09c6ee94165bd98cb59dce6df8d95ca3d81fd9ec41649b3c7f1c3a3c,-1cos(-1x -1),-1cos(-1x -1),2,KS5_merged_deduped.jsonl:ks5_be02e071a9:options[3] | KS5_merged_deduped.jsonl:ks5_f2dadbaa56:options[3]
it-CH,a71c6ce1d80f942e9a000071ec38ffb1bb5b4b698a266aad784c569a6d5aa0a1,-1cos(-1x -2),-1cos(-1x -2),1,KS5_merged_deduped.jsonl:ks5_e8011a8b02:options[2]
it-CH,a6aaf5ee30daffda4477e8cfe1cc3526751e01c95d17c535441a0c58fae82a94,-1cos(-1x -3),-1cos(-1x -3),2,KS5_merged_deduped.jsonl:ks5_e9194ce5a6:options[3] | KS5_merged_deduped.jsonl:ks5_14eaf4dd1a:options[1]
it-CH,c842d88575bc5d5571ff47608fb0a44fdaf65914bf87332087944b71d6d75b6e,-1cos(-1x -4),-1cos(-1x -4),1,KS5_merged_deduped.jsonl:ks5_2677e9d3eb:options[0]
it-CH,f9ace4f8b5aefeab9ba2def6c4319f9e1344899d0f70f8d8c856fa72ba6a4c8a,-1cos(-1x -5),-1cos(-1x -5),1,KS5_merged_deduped.jsonl:ks5_2d9af03d1c:options[0]
it-CH,f3d0bcfb0a35d0c8458bd8fc89e9a422f8be71e1cd00366036ef34172d82170f,-1cos(-1x -6),-1cos(-1x -6),1,KS5_merged_deduped.jsonl:ks5_eba8353286:options[3]
it-CH,d5ea7b878b743d98ac95bab7755dc41f3004bde5986de117bb934e0bea2a94f9,-1cos(1x +0),-1cos(1x +0),1,KS5_merged_deduped.jsonl:ks5_1c298b0cf0:options[1]
it-CH,96938087e24dd5b353607f555f36ac2302f4922a150f37f69e4f7b469db04df3,-1cos(1x +1),-1cos(1x +1),1,KS5_merged_deduped.jsonl:ks5_1c4a61f670:options[0]
it-CH,7bf442b43cf88862aba8fa008814b2c90c5f96d578f9f250b47a6f729b92fb09,-1cos(1x +3),-1cos(1x +3),1,KS5_merged_deduped.jsonl:ks5_ee7505b4ab:options[2]
it-CH,f24db3d37346e607aac0e084106f4a49da81dc1b415549d1e023fdb7fbe87435,-1cos(1x +4),-1cos(1x +4),1,KS5_merged_deduped.jsonl:ks5_1f40eb147c:options[3]
it-CH,0ac202f02efd6a1498a871f4044f0caf3d7a4f9561aa9357a6b75ee8e958efd8,-1cos(1x +5),-1cos(1x +5),1,KS5_merged_deduped.jsonl:ks5_189c90d1ba:options[1]
it-CH,d965d3a01fa309cea757d1cc23deaa3ab7720d7040a6cfd855272bddc66c93f9,-1cos(1x +6),-1cos(1x +6),1,KS5_merged_deduped.jsonl:ks5_ab6896c21e:options[1]
it-CH,cdfd1787e376f3e172248cf65bd683091ce3d7d36614224b0e08563e1abd683a,-1cos(1x -1),-1cos(1x -1),1,KS5_merged_deduped.jsonl:ks5_41b480a4de:options[3]
it-CH,3c04ec988c43f5210400fa595b3dbf232cfda26efab4cba3d5f9f3f20afd76dc,-1cos(1x -3),-1cos(1x -3),1,KS5_merged_deduped.jsonl:ks5_1fb832b109:options[0]
it-CH,362b7f312ee5fb312ab7131a5e12a93aca24a8e497eb0ebf0f52db8c7ae73f74,-1cos(1x -4),-1cos(1x -4),1,KS5_merged_deduped.jsonl:ks5_e08dd07387:options[0]
it-CH,c0761d7767e05aaaab84e12161860d2e8fe0a8908210edb7567a6b0732ffe157,-1cos(1x -5),-1cos(1x -5),1,KS5_merged_deduped.jsonl:ks5_7504ee382d:options[2]
it-CH,f00f15bbb393b2ebd4a0dee27ee85ccdbf4043f8c02cb6b6265caeccb5891b06,-1cos(1x -6),-1cos(1x -6),1,KS5_merged_deduped.jsonl:ks5_6f3c54fa40:options[3]
it-CH,0cd3d66bab20b99d08218d47294928e8e07c608a61183c7dab27418efda5999a,-1cos(1x),-1cos(1x),2,KS5_merged_deduped.jsonl:ks5_diff_trig_219248618981103483:options[3] | KS5_merged_deduped.jsonl:ks5_diff_trig_4190816191610531060:options[3]
it-CH,65bf05ada863a6dc81765323185b4950f8dc368acadb3cb6c6c05bf46a5d2782,-1ln(-1x +0),-1ln(-1x +0),1,KS5_merged_deduped.jsonl:ks5_08051fbd9c:options[2]
it-CH,0bd80b8621ad0b87130f66f30391363b8f594dd9bffe7e646ece1a1d898a0132,-1ln(-1x +1),-1ln(-1x +1),1,KS5_merged_deduped.jsonl:ks5_3703f79134:options[2]
it-CH,8c37918a8eb17d53038e970a329dbd984100a2d2439afd3b069428079d5a9712,-1ln(-1x +3),-1ln(-1x +3),1,KS5_merged_deduped.jsonl:ks5_1e4c7da9de:options[2]
it-CH,1f5c6afdc014266892b461ab6502f7ca618cb1095cf22b620013262daaf1732d,-1ln(-1x +5),-1ln(-1x +5),1,KS5_merged_deduped.jsonl:ks5_921bfbaece:options[0]
it-CH,e3c98fb6562e7339845bbb94af890c109d3d6370c9b60d7347ac1998ba17fd72,-1ln(-1x +6),-1ln(-1x +6),1,KS5_merged_deduped.jsonl:ks5_2f4f7e8e34:options[1]
it-CH,2f9bbfc1724e45e099d10c482f19a35805e1dce98a85bc4c3376157dc17061cf,-1ln(-1x -1),-1ln(-1x -1),1,KS5_merged_deduped.jsonl:ks5_890e09edbf:options[0]
it-CH,94933eeed5a26fff006cb3b2d77012d805950146bf6ed88c446326c1812b0ada,-1ln(-1x -3),-1ln(-1x -3),1,KS5_merged_deduped.jsonl:ks5_39abea9fe6:options[0]
it-CH,520ffb8ffc6a1aa9776c02e73f753a8986b539055c59a5b39c1d1a695c5152f3,-1ln(-1x -4),-1ln(-1x -4),1,KS5_merged_deduped.jsonl:ks5_347efd6454:options[1]
it-CH,9284276ab7f18e35fc4b4b720f45a57a487d91147d8bcfaab6fb67dceb8304eb,-1ln(-1x -5),-1ln(-1x -5),1,KS5_merged_deduped.jsonl:ks5_eaeb804d36:options[2]
it-CH,09cb28d25eddfb7cc1c70820fb6ec28ee5e144094bbbb5d24eb6f5099c9662e6,-1ln(-1x -6),-1ln(-1x -6),1,KS5_merged_deduped.jsonl:ks5_acd417a8f1:options[2]
it-CH,c3eff6b79bb1478c5f36157124b7d9aacf6918360363993bb522c5c03962bf0c,-1sin(-1x +0),-1sin(-1x +0),2,KS5_merged_deduped.jsonl:ks5_effcf6ece0:options[2] | KS5_merged_deduped.jsonl:ks5_a9df7096f1:options[0]
