locale,segment_hash,source_text,translated_text,occurrences,sample_locations
de-CH,749174fe649b2d59522bfe814a94b531b4b58e363a34c22d09ed048e58a7591f,10% = 10/100. Multiply 103 by 10/100.,10% = 10/100. Multipliziere 103 mit 10/100.,1,KS4_merged_deduped.jsonl::rationale
de-CH,bdf22c25dcfae2654b77ac58bddcf9359f8453745c434932965e0d322e971c7a,"A bag has 7 red, 2 blue, and 7 green counters. What is P(blue)? (simplest form)","Ein Beutel hat 7 rote, 2 blaue und 7 grüne Spielsteine. Wie gross ist P(blau)? (vollständig gekürzt)",1,KS4_merged_deduped.jsonl::question
de-CH,cf653043e2a487534f76175f19325a7f00ef4abad3538434fe2840e2e61ba46c,A circle has radius 2. Find the sector area for angle 3π/6 radians.,Ein Kreis hat den Radius 2. Bestimme die Sektorfläche für den Winkel 3π/6 Radiant.,1,KS5_merged_deduped.jsonl:ks5_radians_arc_sector_5514183562914643173:question
de-CH,beab3dc19b82c6f6b6a96bf9930fd8dc509711da2a05021f969c02506556850e,"A grouped frequency table has frequencies [10, 6, 5, 4] for classes [(0, 10), (10, 20), (20, 30), (30, 40)]. What is the cumulative frequency up to 30?","Eine gruppierte Häufigkeitstabelle hat die Häufigkeiten [10, 6, 5, 4] für die Klassen [(0, 10), (10, 20), (20, 30), (30, 40)]. Wie gross ist die kumulative Häufigkeit bis 30?",1,KS4_merged_deduped.jsonl::question
de-CH,bd22484039ca604ce55e7b335dd28b042163c8fb3be07c4d07fd3e946877b7dd,"A grouped frequency table has frequencies [9, 9, 2, 5] for classes [(0, 10), (10, 20), (20, 30), (30, 40)]. What is the cumulative frequency up to 30?","Eine gruppierte Häufigkeitstabelle hat die Häufigkeiten [9, 9, 2, 5] für die Klassen [(0, 10), (10, 20), (20, 30), (30, 40)]. Wie gross ist die kumulative Häufigkeit bis 30?",1,KS4_merged_deduped.jsonl::question
de-CH,16b65d8b6d8ce826fc1d97072d0352a1a451451a18a636f13b9999a3843b3c95,A mass of 4 kg accelerates at 3 m/s^2. Find the resultant force.,Eine Masse von 4 kg beschleunigt mit 3 m/s^2. Bestimme die resultierende Kraft.,2,KS5_merged_deduped.jsonl:ks5_forces_newton_3441119946539742436:question | KS5_merged_deduped.jsonl:ks5_forces_newton_2738445134009424906:question
de-CH,b1f936738b30563e298526658fa0648e29ca309c68c532a2a873fcb0c197c3a7,A sequence starts at -9 and increases by 4 each time. What is the 7th term?,Eine Folge beginnt bei -9 und erhöht sich jedes Mal um 4. Was ist das 7. Glied?,2,KS3_bank_ok_10000.jsonl:ks3_sequences_linear_da28b33424:stem | KS3_bank_ok_10000.jsonl:ks3_sequences_linear_73de444a1b:stem
de-CH,5be9baa4234b5ffd3b351eef646ef4ecc36bb8cc0bd74e3fe52e47851ced70c6,A sequence starts at 7 and increases by 3 each time. What is the 12th term?,Eine Folge beginnt bei 7 und erhöht sich jedes Mal um 3. Was ist das 12. Glied?,1,KS3_bank_ok_10000.jsonl:ks3_sequences_linear_5d32f3b863:stem
de-CH,c5d8e79a88f5ddf4b11f78e416b492a53781aaa433788fb8b8e1a93c32d05d88,A value of 455 is decreased by 15%. What is the new value?,Ein Wert von 455 wird um 15% verringert. Wie gross ist der neue Wert?,1,KS4_merged_deduped.jsonl:ks4_percentage_change_1453fa93d7:question
de-CH,494b1812e9a6104300529e2ec8e5b640b088953d4f45b52940608582dd13105b,Calculate: 30 + -6,Berechne: 30 + -6,1,KS3_bank_ok_10000.jsonl:ks3_integers_directed_numbers_057a7d89ba:stem
de-CH,41087f6f23460d4ec4976c183cf8d069ee8c4affeb509a9eac0048644a8cbc37,Calculate: 9 - -3,Berechne: 9 - -3,2,KS3_bank_ok_10000.jsonl:ks3_integers_directed_numbers_428f2a9f46:stem | KS3_bank_ok_10000.jsonl:ks3_integers_directed_numbers_967172071a:stem
de-CH,27e34747207279999f0178ec07ecd68c4c6fd64530dc04ce33521559b6a8f559,Compute ∫_0^3 (3x^2 + 4x - 4) dx,Berechne ∫_0^3 (3x^2 + 4x - 4) dx,1,KS5_merged_deduped.jsonl:ks5_def_int_poly_dab85b45:question
de-CH,52fac8cce78428b7bf97ae7fdaa231ea597e7621ac2ff4ab270f0d7d4bbde989,Compute: 7^2,Berechne: 7^2,4,KS4_merged_deduped.jsonl::question | KS4_merged_deduped.jsonl::question | KS4_merged_deduped.jsonl::question
