locale,segment_hash,source_text,translated_text,occurrences,sample_locations
it-CH,749174fe649b2d59522bfe814a94b531b4b58e363a34c22d09ed048e58a7591f,10% = 10/100. Multiply 103 by 10/100.,10% = 10/100. Moltiplica 103 per 10/100.,1,KS4_merged_deduped.jsonl::rationale
it-CH,011140a49a7db1d0ded3982c676168a84a6a9e794ed7a604780c149d4b397c7a,12% = 12/100. Multiply 378 by 12/100.,12% = 12/100. Moltiplica 378 per 12/100.,1,KS4_merged_deduped.jsonl::rationale
it-CH,01252c276aa88a6a96252f4b567a68957047a0b6954e7c19c707d79dfe39a290,"A bag has 4 red, 4 blue, and 4 green counters. What is P(green)? (simplest form)","Un sacchetto contiene 4 gettoni rossi, 4 blu e 4 verdi. Qual è P(verde)? (forma più semplice)",2,KS4_merged_deduped.jsonl::question | KS4_merged_deduped.jsonl::question
it-CH,54f948eb4a9d500f37ea7692a4ba40fe2556ba056b2f8bcdf013bdbe187f9215,"A bag has 5 red, 4 blue, and 3 green counters. What is P(blue)? (simplest form)","Un sacchetto contiene 5 gettoni rossi, 4 blu e 3 verdi. Qual è P(blu)? (forma più semplice)",1,KS4_merged_deduped.jsonl::question
it-CH,3c1cb7b959474ac009888a223be9fdaeea9a26b18c0a6368760ac5f7b36ec92f,A beam is in equilibrium. A force 8N acts at 2m from the pivot on one side. Find the balancing force at 2m on the other side.,Una trave è in equilibrio. Una forza di 8 N agisce a 2 m dal perno su un lato. Trova la forza equilibrante a 2 m dall'altro lato.,1,KS5_merged_deduped.jsonl:ks5_moments_equilibrium_3468647198791197788:question
it-CH,3680beae4f6cba04da9dcf2049d147f963c682b235c6d26f370e40db75f29516,"A grouped frequency table has frequencies [4, 4, 11, 8] for classes [(0, 10), (10, 20), (20, 30), (30, 40)]. What is the cumulative frequency up to 30?","Una tabella di frequenze raggruppate ha frequenze [4, 4, 11, 8] per le classi [(0, 10), (10, 20), (20, 30), (30, 40)]. Qual è la frequenza cumulata fino a 30?",1,KS4_merged_deduped.jsonl::question
it-CH,1f8d38059e2d425896504bb9683452d85b654dfd6a2c796c858766eabc7e2fdf,A particle is projected vertically upwards with speed 26 m/s. (g=9.8) Find the time to reach maximum height (to 2 d.p.).,Una particella viene lanciata verticalmente verso l'alto con velocità 26 m/s (g=9.8). Trova il tempo per raggiungere l'altezza massima (a 2 cifre decimali).,2,KS5_merged_deduped.jsonl:ks5_projectiles_intro_1290622051281098395:question | KS5_merged_deduped.jsonl:ks5_projectiles_intro_3559168750644247712:question
it-CH,9e1c27a80320c56d883f9ac8395312139b7989d6d1b532a14649fd1a93c50402,A sequence starts at -6 and increases by 4 each time. What is the 7th term?,Una successione inizia da -6 e aumenta di 4 ogni volta. Qual è il 7° termine?,2,KS3_bank_ok_10000.jsonl:ks3_sequences_linear_2e606a4139:stem | KS3_bank_ok_10000.jsonl:ks3_sequences_linear_c416fd548b:stem
it-CH,b1f936738b30563e298526658fa0648e29ca309c68c532a2a873fcb0c197c3a7,A sequence starts at -9 and increases by 4 each time. What is the 7th term?,Una successione inizia da -9 e aumenta di 4 ogni volta. Qual è il 7° termine?,2,KS3_bank_ok_10000.jsonl:ks3_sequences_linear_da28b33424:stem | KS3_bank_ok_10000.jsonl:ks3_sequences_linear_73de444a1b:stem
it-CH,a7926613ea22f2f527773d2f7501de60fad29e29af9263efdf3568961bb598c5,Calculate: -6 + -1,Calcola: -6 + -1,1,KS3_bank_ok_10000.jsonl:ks3_integers_directed_numbers_51d29a5cf4:stem
it-CH,4697baef3101611612c6ca698828943a6debb92a8d6228ef2c51d94d4ebe7084,Compute ∫_0^5 (2x^2 - 6x - 7) dx,Calcola ∫_0^5 (2x^2 - 6x - 7) dx,1,KS5_merged_deduped.jsonl:ks5_def_int_poly_7d57d44e:question
it-CH,29c73774743f9c963d455ee23e75cbc1a36de9e47ff59165594f3912aea94aec,Compute ∫_1^5 (4x^2 - 2x - 3) dx,Calcola ∫_1^5 (4x^2 - 2x - 3) dx,1,KS5_merged_deduped.jsonl:ks5_def_int_poly_5e0fa648:question
it-CH,6ae2fb874beffe34553d4302e3f68941f3f6d2cd6e12ed31ebaf927c07dc3c5f,Decrease 151 by 40%. What is the new value?,Riduci 151 del 40%. Qual è il nuovo valore?,1,KS4_merged_deduped.jsonl::question
it-CH,abf7615fec6f53c6e2b2a8a94114a506c7de328b2056e005414b30bf8ff3efac,Differentiate with respect to x:  f(x) = 2x^2 - 4x - 6,Deriva rispetto a x: f(x) = 2x^2 - 4x - 6,1,KS5_merged_deduped.jsonl:ks5_ad152d1475:question
it-CH,eab63ba80e754cc0ecd396872c10d3ad6bf99710d52025bd1c59dada0815e93b,Differentiate with respect to x: 2x^4 + 6x^1 + -5,Deriva rispetto a x: 2x^4 + 6x^1 + -5,1,KS5_merged_deduped.jsonl:ks5_diff_basics_3284952604738773813:question
it-CH,430ce17d1d40370c40aa0139a7a8cc91b79c0404beb37d97fba8fe6a35a811e7,Differentiate with respect to x: f(x) = -2x^4 + 4x^3 + x^2 - 6x + 7,Deriva rispetto a x: f(x) = -2x^4 + 4x^3 + x^2 - 6x + 7,1,KS5_merged_deduped.jsonl:ks5_diff_poly_d342f617:question
